query_id,question,correct_document_id,rank
53,홀뮴이 평소와 다르게 강자성을 가지게 되는 온도는?,8118,2
54,베커먼이 훔치려고 계획한 금괴는 어디에서 왔나요?,32409,1
55,경기를 홍보하기 위해 언급된 사람은?,42721,21
56,트윈타워에서의 살인사건 현장에 있던 증거품은 무엇인가?,16753,1
57,작중 샤를 지 브리타니아가 비판한 사상은?,39642,1
58,많은 갈등을 불러온 툴민의 책은?,23216,4
59,군인의 관례을 가장 잘 들어내는 문화는?,7288,3
60,고급 외무 관리에 관한 권리와 미국 정부의 조약 비준권을 가진 기관은?,23901,1
61,신 중심에서 인간 중심 사회로의 변화가 시작된 시기는?,31359,2
62,각절마다 미롱통 소리가 나오는 노래는?,26988,1
63,차으르가 경계한 세력은?,53921,2
64,영국의 <원론> 번역본은 어떤 언어로 되어 있었는가?,56800,21
65,대만에서 단일 태풍 강우량 신기록을 남긴 지역은?,21739,11
66,쾌속 《미에》 호는 어느 방향으로 직결 운행하는 열차인가요?,30248,1
67,호프만 폭동이 수습된 해는?,49187,1
68,을미사변 직후에 이범래는 무엇에 임명되었나요?,14083,1
69,28인의 볼셰비키가 땅에 관련된 문제를 처리하고 싶었던 지역은?,59965,1
70,중세 초기의 스웨덴에서 역할을 제대로 수행하지 못한 것은?,57654,1
71,러시아를 근대화하려는 노력을 통해 근대 열강의 하나로 자리잡게 한 왕은?,13975,3
72,나오코는 미아코토와 소개팅을 한 후 누구와 집에 돌아갔는가?,22025,8
73,경찰관이 딱지를 떼지 않은 것은 무엇을 위해서인가?,21063,2
74,농도산수가 일정하기 위한 전제조건은?,6502,21
75,둠 3과 기존의 둠 게임에서 매번 지옥에 가는 인물은?,12065,2
76,에릭 레이먼드의 자유 소프트웨어 철학을 대변하는 글은?,4655,2
77,클라리넷 외에 유니즌의 형태로 연주되는 악기의 이름은?,43992,1
78,핀 막 쿠월이 복수하고자 하는 아버지의 적은?,38663,3
79,기원전 324년에 드리페티스의 결혼 상대는 누구의 동료였나요?,45801,1
80,이광은 감독이 LG트윈스를 매직리그 1위에 올린 해는?,13127,1
81,조지가 보트를 대여할 때 사용했던 이름은?,37383,1
82,독일의 바르바로사 작전은 어느 국가를 대상으로 한 것이었나?,7907,2
83,오토망게어족을 가장 많이 사용하는 곳은 어디인가?,55072,1
84,가수 이난영의 노래 중 기념비까지 세워진 것은?,15686,10
85,에케르트가 시행착오를 겪었던 국가는?,7119,2
86,우메노의 사인은?,11945,1
87,비석에 새겨진 문자를 돌궐 문자라고 한 사람은 누구인가?,6506,2
88,일반 사람들이 합법적으로 문신을 하려면 누구를 찾아가야 하나?,50380,1
89,영국이 인도의 반영 운동을 무마시키고자 시행한 정책은?,19223,1
90,이명박 대통령이 직접 찾은 학교는?,13408,8
91,알랭 푸르니에의 매부는?,59045,1
92,도카이도 신칸센이 지나가며 시나가와 역까지 가는 교통수단은?,44283,8
93,《우리들의》에서 다루고 있는 가정은 어느 나라 사람들인가?,13230,9
94,선언형 프로그램과 대비되는 프로그램은?,8428,2
95,한 마을 안에서 팀을 가를 경우에 사용하는 물건은?,36696,21
96,소나타의 시초가 된 연습곡을 만든 사람은?,59379,1
97,김대중을 구하기 위해 캐스퍼 와인버거 미 국방부 장관과 그레그 전 대사를 한국에 파견한 인물은?,6855,2
98,정해진 기간동안 목표 금액에 도달하지 못할 경우 돈을 받지 못하는 사람은?,33445,1
99,소프트 머신의 이전 명칭은?,44197,6
100,여운홍이 도움을 청한 사람은?,5609,21
101,이사벨이 나라를 대신 통치할 수 있는 권위를 준 인물의 이름은?,36052,13
102,이익은 그대로 챙기면서 소비자에게 부담을 주는 방식을 시도해 코즈마케팅에 실패한 기업은?,40784,1
103,개막전에서 3안타 2실점을 기록해서 패한 선수는?,16418,1
104,트윈 엘리베이터가 승강기 간의 충돌사고를 방지하기 위해 도입한 기술은 무엇인가?,48858,1
105,자기감시성향이 높은 사람들은 무엇과 관계있는 어휘를 접했을 때 긍정적인 개인행동을 보인다고 밝혀졌나요?,46495,2
106,치과 시술 중 혈관 속으로 들어올 수 있는 것은?,57963,1
107,존과 약혼한 여자의 이름은 무엇인가?,59890,5
108,세종대 국제학부의 사업을 대학 특성화 사업으로 채택한 부처는 어디인가?,5219,2
109,맥스가 본사로 복귀하기 위해 활용한 인물은?,24155,2
110,클린턴의 두 번째 임기는 어떤 스캔들로 인해 내리막을 걷게 되었나?,4633,2
111,어디에서 심학규의 눈이 떠졌는가?,23546,2
112,프레시오지테는 누구에게 다양한 방면으로 영향을 주었는가?,30308,1
113,이스트미들랜즈 지국이 새롭게 갈라져 나간 해는?,43477,1
114,신비적 체험에 대해 '삶의 원천에서 깨끗하고 맑은 물을 마신 것 같다' 고 표현한 사람은?,34058,1
115,베네딕토 16세가 영국 방문 이후 향한 곳은?,26246,1
116,"메가비조스가 도시를 빼앗고, 나중에 생길 반란을 피하기 위해 부순 것은?",45940,1
117,인재에게 도전적인 일을 시키는 것은 가인지경영이 무엇에 중점을 두기 때문인가?,48379,1
118,요자파트가 카를 프리드리히 가우스를 만나게 된 장소는 어디인가?,25068,1
119,무쇠시티 체육관 관장은?,30513,1
120,왕게민이 중일전쟁을 시작하기 전에 설립한 것은?,31260,7
121,루도비코가 비앙카와 결혼시킨 인물에게서 얻은 것은?,17116,3
122,"매년 해수온이 올라가는 현상으로 인해, 자리돔의 서식지가 어디까지 확장되었는가?",18532,1
123,알바니아계 이탈리아 교회가 소속된 교구는?,46770,1
124,내전으로 인해 어마어마한 부채를 떠안고 있는 인물은?,7887,21
125,나치 독일이 지식인이나 귀족 등 65000여 명의 폴란드인을 잡아들이기 위해 준비한 것은?,7905,2
126,확증 편향의 정의를 확립하게 된 연구는 언제 시작되었나요?,6114,5
127,치킨 누들 한 캔을 생산하기 위해 참여하는 회사의 수는?,7464,2
128,시네마토그래프 유료 상영회가 개최된 날은?,59489,1
129,몽케 칸 다음으로 즉위한 인물은?,41725,1
130,스태튼아일랜드의 영업은 언제 종료되었는가?,13342,10
131,연병환이 영국인 친구의 소개를 통해 구한 중국의 직장은 어디인가?,53017,1
132,플레이어가 용언 사용 훈련을 받은 장소는 어디인가?,30080,1
133,"인간의 의식 중, 사이코사이버네틱스를 통해 통제할 수 있는 것은?",24954,1
134,싱가포르 내 최초 감염자의 나이는?,57171,1
135,마라도나는 벌칙 구역에서 누구와 대치했는가?,7088,2
136,프로이트의 정신 체계에서 현실적인 정신체계와 본능적 충동의 체계를 제외한 것의 명칭은?,26108,1
137,옻칠의 가장 중요한 요소는 무엇인가?,24413,1
138,가리발디의 원정으로 마리아 테레사는 어디를 떠나 해외로 도피했나요?,28749,1
139,카보베르데의 저기압 순환의 원인이 된 것은?,35412,1
140,파이어폭스 이전 가장 잘나가던 웹 브라우저는?,9149,1
141,선장의 일지를 확인하는 기관은?,57999,3
142,작곡가인 루이스 슈포어의 또 다른 직업은 무엇인가?,9594,2
143,남녀가 키스를 나눈 마을 이름은?,41898,21
144,일본의 원정 중 가장 최근의 원정은 언제 실행되었는가?,17340,14
145,토니왕의 조카에게 총을 쏜 자는?,28730,1
146,1955년부터 1973년까지 일본의 연평균 경제 성장률은?,4660,10
147,아물라드의 아들이 밤베르크의 주교로 서임된 해는?,6736,2
148,2014년 돈노드가 스퀘어 에닉스와 함께 작업한 이유는 무엇을 위해서인가?,46782,1
149,에르망가르드가 유부녀가 된 연도는?,34817,21
150,쌍곡 기하학 모형이 처음 등장한 책은?,11819,1
151,마쓰카타 마사요시의 재정정책으로 가장 많은 타격을 입은 산업분야는?,51433,4
152,철수가 피하려고 하지만 사실 친구로 생각하는 사람은?,27366,21
153,KT가 '쇼옴니아' 명칭을 사용하지 못하는 계기가 된 핸드폰은 어느 회사 제품인가?,10440,1
154,《논형》에 나오는 비판주의가 인정하지 않는 것은?,18420,2
155,갈릴레오를 현대 과학의 아버지라 칭한 사람은?,4978,2
156,스웨덴과 함께 겨울 전쟁이 끝나길 바란 국가는?,4885,10
157,카를 체르니가 공연한 쾰른토나토아 극장은 어느 도시에 있는가?,7872,2
158,수령자가 매매계약을 파기하기 위해서 지불해야하는 것은?,17577,1
159,김용준이 도쿄 미술학교 재학 당시 만난 전통적 모더니즘 계열 화가는 누구인가?,9868,1
160,코페르니쿠스가 교회법 박사 학위를 받은 날은?,6016,2
161,고등 의사소통 체계를 사용할 수 있는 인류의 종은?,7951,2
162,마차시 성당을 모스크로 리모델링한 나라는?,13326,1
163,브리에르에게 광서군 잔당을 축출할 것을 명령받은 사람은?,56435,1
164,스빈후부드가 대통령 선거에서 승리한 연도는?,23340,1
165,카이가 22살에 한 일은?,53997,21
166,접어서 가지고 다닐 수 있는 풍금이 제작된 해는?,41543,1
167,푸르바더는 언제 세상 밖으로 나왔는가?,39694,1
168,햇빛으로 인해 생기는 물체의 그늘로 시간을 측정하는 기구는 무엇인가?,34253,21
169,조선인민공화국의 전신은?,50782,21
170,"진대감의 부인중, 임신했다고 거짓말을 한 부인은 몇 번째 부인인가?",54009,1
171,윤치호가 중앙 정계에서 다시 활동하기 전에 일어난 전투는?,5295,2
172,고려시대 때 마을의 걱정을 없애기 위해 만든 석불은 무엇으로 만들어졌나요?,40020,2
173,오다테의 난이 일어난 해는?,11249,1
174,예니체리가 완전히 해산되었을 시기 재위 중인 황제는?,10664,1
175,영국 해군이 다시 전장식으로 돌아가기를 결정했던 때는?,48844,1
176,카복실산과 반응하여 니켈 비누를 만드는 것은?,9045,2
177,정치하는 엄마들이 피해자들이 정상적인 일상생활을 할 수 있도록 돕기 위해 진행했던 서비스는?,52201,1
178,성작은 어느 종교에서 쓰이는 잔인가요?,29882,1
179,조기 심실 수축과 조기 심방 수축으로 나누는 기준은?,52340,1
180,허계임과 그녀의 두 딸 중 가장 먼저 순교한 것은 누구인가?,39168,1
181,엘리노어 여사가 사망한 해는?,22819,3
182,체크포인트에 와서 총을 쏜 것은 누구인가?,37759,1
183,천연두에 감염된 모든 사례 중 출혈성 천연두는 얼마의 비중을 차지하는가?,5536,2
184,벳쇼 다케히코가 다이요 웨일스에서 코치로 활동하다가 그만둔 연도는?,35792,1
185,번역가가 기본적으로 문화와 함께 잘 알아야 하는 것은?,5665,14
186,제 1차 바르바리 전쟁에서 지휘를 맡았던 사람은?,36471,3
187,아다케부네가 제작 된 시대는?,7345,6
188,《가우스전자》의 원래 제목은 무엇이었나?,36168,1
189,벼농사와 관련된 이팝나무 전설의 관찰 대상은?,43183,3
190,중국은 무엇을 통해 리덩후이의 총통 선거를 방해하려 했는가?,9030,2
191,노선이 확대되기 전 열차의 객차는 몇 개였나?,51769,21
192,파네 티치네세가 1킬로그램 가량의 무게였던 연대는?,39756,1
193,혜주의 운전교습을 잠시 맡게된 인물의 형은?,52975,1
194,오다 노부타다는 누구에게 살해당했나?,17003,6
195,위미르가 길들을 관할하는 곳은 어디인가?,55146,1
196,《하느님이시요 사람이신 그리스도의 시》는 누구의 생애를 다루고 있나요?,31222,2
197,왕장이 성제에게 해임을 요청했던 인물은?,41440,1
198,여운형이 여러 소일을 하기전에 일했던 곳은?,5595,1
199,야기 바스티의 시라즈 침략을 도운 사람은?,13765,1
200,만덕사는 언제 설립되었나?,39711,1
201,평상시 기독교선교사들로부터 차별적 대우를 받은 윤치호가 생각한 미국의 중대한 속성은?,5284,2
202,국무총리실에서 법에 어긋나게 조사했던 사람은 누구인가?,25531,5
203,창문을 치며 희민에게 자신의 위치를 알리려고 했던 인물은 누구인가요?,10782,1
204,헤레로인이 독일기업이 예전에 나미비아에 큰 피해를 입힌 것에 대해 소송을 제기한 곳은?,43424,1
205,닥터와 함께 원형 판을 열었던 인물은?,49785,2
206,보니파시오 4세는 로마의 무엇을 기독교 성당으로 중건하도록 명령했나요?,6704,2
207,주교좌직 중 상위라고 주장된 주교는?,26441,1
208,설문지 질문을 작성할 때 질문에 꼭 포함시켜야 하는 것은?,4572,2
209,아달랴가 왕비가 된 것은 누구를 남편으로 맞아서인가?,21735,1
210,마충의 상사는 누구인가?,6664,8
211,보니파시오 3세가 받은 칙령으로 피해를 입은 자는 누구인가?,6703,2
212,주인공 노바는 어떤 느낌을 지닌 캐릭터로 바뀌었나요?,8833,3
213,프로이트가 건강한 여성이 사춘기 이후부터 느껴야하는 오르가즘으로 주장한 것은?,12629,1
214,간의 약물대사에서 핵심적인 역할을 하는 효소는?,57337,1
215,태양 자전 속도의 약 60배 가량 속력을 낼 수 있는 항성은?,14163,2
216,슈타우펜베르크가 패전을 확신한 것은 몇 년인가?,20662,2
217,중국에서 쿨리가 공식적으로 해외에 나갈 수 있게 되었던 시점은 언제부터인가?,33762,1
218,가나자와 성의 해자 중 현재는 소실되었지만 부속품이 남아 활용되는 것은?,11671,1
219,일반고 슬럼화 문제를 해결하기 위해 교육청에서 내세운 정책 슬로건은?,33554,1
220,<가톨릭 청년>에서 참여를 촉구하는 발언은 누구의 말을 인용한 것인가요?,28300,1
221,킴푹은 무엇 때문에 3도 화상을 입었는가?,31797,1
222,아스가르드에서 볼바와 같은 역할을 하는 인물의 가장 탁월한 점은?,34544,1
223,해리엇은 어떤 업적으로 전 세계적인 이슈가 됐었나?,23244,1
224,사다트를 죽인 집단은 어느 국가와의 평화를 거부했나요?,17035,2
225,부르고뉴 공국의 영토가 프랑스 왕실에 반환된 법적 근거는?,48161,1
226,군 정부가 함부로 행사했던 연방 정부의 독자적 권리는 무엇인가?,29953,16
227,과도하게 공간을 점유한 주택의 철거를 자유화한 연도는?,10044,20
228,진주만 작전에서 제3차 공격강행을 반대한 인물은?,16879,1
229,고구려의 역사를 중국에게서 알아와 작성한 사서는?,18149,1
230,비트겐슈타인의 의견을 잘 수용하지 못한 국가는?,23223,1
231,고대 올림픽에 참가한 사람은?,10766,10
232,맥킨타이어가 일관성 있는 도덕이 아니라며 비난했던 것은?,59887,1
233,포브스에 의하면 1985년 자이르의 국채 규모는?,8092,2
234,회의주의 운동의 일부 주도자와 관련있는 사상은?,15668,21
235,허셜이 관측한 이중성 중 쌍성으로 예측된 것은 몇 개인가?,9673,2
236,금고를 걸어두기 위해 만들어진 것은 무슨 모양인가요?,46389,21
237,카스파는 어떤 역할을 담당해 베토밴을 도와주었나?,4798,2
238,이탈리아 동맹 결성에 가장 큰 영향을 준 나라는 어디인가?,42855,8
239,아킬레우스의 무구를 받고 아이아스가 장례식을 치를 수 있게 설득한 인물은?,33587,1
240,1757년 루이스버그 원정을 저지한 나라는?,34611,1
241,콩은 옥수수와 달리 어떤 용도로도 쓰이는가?,6216,2
242,여운형과 함께 상하이에서 독립 운동에 전념한 사람은?,5627,4
243,로베스피에르가 처형된 쿠데타는 무엇인가?,28472,1
244,분추류중 제일 컸다고 알려진 종류는?,8480,2
245,공성훈 작가는<낚시>와 <담배 피우는 남자(폭포)>에서 공통적으로 자연과 누구를 비교하는가?,52651,1
246,알렉산드로스 대왕이 창의 길이를 늘려 만든 것은 무엇인가요?,6033,3
247,아난 준로 감독이 감독으로 부임한 해에 리그 우승을 차지한 팀은?,41453,1
248,무태장어 양식이 흔하게 이뤄지는 국가는?,6552,2
249,성서를 영어로 번역한 인물에게 영향을 받은 사람은?,47448,3
250,북한에서 다운로드 받아 플레이 할 수 있는 게임은?,7577,11
251,무기를 개편하기 위해 플레이어가 가지고 있어야 하는 것은?,15516,21
252,델라웨어 식민지의 이전 소유국가는?,34512,7
253,카르타고 신성대가 활동했던 시대는 언제인가?,49393,4
254,섬의 꼭대기 부근에서 노랑부리백로와 공존하는 새는?,28483,1
255,한보철강의 부실대출 책임자 중 제일은행장이었던 사람은?,9027,2
256,신여성 세력 중 한 인물이 대표를 맡았던 단체는?,15663,21
257,봉기군을 누르는데 앞장선 단체는?,51173,1
258,방사성 물질 운송에 비스무트를 사용할 수 있는 이유는?,8108,2
259,알렉산드로스가 속한 군대는?,10826,21
260,후난 지역과 장시 지역에서 농민봉기를 선동한 사람은?,14104,1
261,루터가 보름스 청문회에 참여한 해는 언제인가요?,40536,3
262,인천에 이발소가 처음 생긴 해에 장면의 나이는?,6917,2
263,여운형에 대한 생각이 적대적이였다가 긍정적으로 바뀐 조직은?,5615,21
264,데릭 쇼빈이 플로이드를 살해할 의도 없이 죽음에 이르게 하였기에 받은 혐의는?,58504,1
265,바실리 박이 안전을 위해 만나러 간 사람은?,50007,1
266,영토를 넓히기 위해 대외정복사업을 추진한 백제의 왕은?,28806,1
267,다나베가 구시로로 가기 위해 완공된 열차에 타고 있었던 시간은?,20010,1
268,보주에서 반란이 빈발한 시기는 언제부터인가?,22525,21
269,일반 사람들은 단종의 묘소를 뭐라고 부르곤 했나요?,5116,2
270,여러 음반을 EMI에서 발매한 인물의 전임자는 누구인가?,15333,21
271,가내작업반에 대한 법률의 안건이 사회주의 상업법에 기록된 해는?,57819,1
272,교황 회칙 중 유일하게 독일어로 만들어진 것은?,6783,2
273,터키가 해외자본을 통해 철도를 깔기 시작한 년도는?,27561,1
274,이인영 의원이 밝힌 금액 중 월세와 함께 논란이 되는 것은?,8497,2
275,9월 23일 세이부 돔에서 진행된 경기에서 긴테쓰의 상대팀은 어디였나?,36873,1
276,스탈린이 철거한 계단이 복구된 것은 몇 년도인가?,57526,1
277,후크고지 최전선으로부터 500야드 거리에서 중공군을 발견한 부대는 어디인가?,44250,1
278,시위 당시 라디오 간토의 기자가 부상을 입은 날짜는 몇 월 며칠인가?,9131,1
279,마윈은 누구의 도움을 받아 알리바바를 세웠나요?,26295,1
280,헤처의 내부가 좁고 가시성이 좋지 않은 원인은?,25802,1
281,58군 사령부가 최후의 유격전을 준비한 것은 누구를 염두에 둔 것인가?,37953,1
282,다수의 토착언어로 서로 다른 이야기로 표현된 시는 어느 나라의 것인가요?,5659,21
283,트락티옹 아방을 생산한 회사가 위치한 나라는?,59134,1
284,2015년에 개최되는 다른 대회 일정 때문에 피에가 참가하지 못했던 콘테스트는 무엇인가?,59322,5
285,요한 3세가 선종한 후 교황이 된 인물의 부모는?,6700,6
286,다스트가흐의 선율에서 고음을 내는 현과 함께 음을 조율하는 현은?,51647,1
287,의회로부터 받은 페린의 땅은 어느 정도인가?,27780,1
288,사회주의 운동을 지지하며 전개해나간 계층은 누구인가?,56688,21
289,이다혜의 아버지는 무슨 종목을 하던 사람이었나?,54343,1
290,프롱트낵 요새를 공격한 영국군의 지휘자는?,49448,1
291,키카이다와 권투사 군단이 결투를 벌였던 장소는?,45631,1
292,마리아는 어느 나라에 계속 머물러 있었나요?,31222,21
293,연여를 지키기 위해 조사에게 장수 역할을 맡긴 인물은?,52026,1
294,서재필은 어디에서 공부하는 학생들을 독립협회로 모이게 했나요?,5342,8
295,피아니스트이자 출판업을 하는 베토벤의 친구는,7870,2
296,후쿠모리 복귀 시 라쿠텐 구단의 감독은?,28142,1
297,스콜로펜드라신1은 무엇의 치료제로 사용되는가?,33215,1
298,지르가랑과 함께 부관직 지위를 맡은 인물은?,57226,2
299,짱구는 못말려 극장판: 초시공! 태풍을 부르는 나의 신부편'에서 알 수 있는 훈이의 장래희망은 무엇인가?,27368,1
300,역사 2층에 있는 역점을 전부 임대했던 곳은 어디인가?,47044,1
301,2002년 이후 대한민국이 동계 올림픽 아이스댄싱에 나간 것은 얼마만인가?,48922,1
302,베토벤이 병을 앓고 있는 신체 부위는?,59011,21
303,콘늘라의 어머니는 누구인가?,40154,1
304,창조신화는 누구에 의해 계획하고 실행된 것으로 그려지나?,14371,1
305,<신중현의 라스트 콘서트>가 초청된 곳은?,53922,1
306,성우는 본래에 어떤 계열의 직업인가요?,52478,21
307,남은 뉴잉글랜드초원멧닭들을 떼죽음으로 몰고 간 병은?,24635,1
308,구매와 저장을 위한 비용을 최소화하는 것을 우선으로 하는 물품 종류는?,50441,1
309,단청에 사용되는 기본 색은 몇 종류인가?,57555,1
310,시모시마 동부가 위치한 층은?,5993,2
311,초창기 EBS온라인클래스의 문제들 중 빠른 속도로 시스템이 안정되면서 해결된 문제점은?,57888,1
312,"도미니크 드빌팽이 제안한 최초고용계약에서, 고용인이 고용자를 쉽게 해고할 수 있는 기간은?",8379,2
313,모모는 무슨 음식인가?,12836,2
314,기록상 여권을 가장 오래전에 사용한 인물은?,4940,8
315,전문대학원 방식을 처음 도입한 곳은 보통 몇 년을 다니나요?,51690,1
316,호남선은 언제 생겼나?,20216,2
317,인종을 나눠 다니게한 학교는 언제 아예 없어졌나요?,47392,11
318,지붕 타일 전부를 보수하기 전 마지막으로 교체했던 시기는?,24533,1
319,망코 잉카가 승전 후 이동했으나 스페인에게 함락당한 곳은?,56329,1
320,연병호의 형제가 사망한 날짜는?,53017,13
321,갈릴레이가 이오와 유로파를 하나의 천체로 관측한 것은 몇 년도였나요?,8264,2
322,문정왕후 윤씨의 아들이었던 인물은 누구인가?,6998,6
323,아게실라오스가 추격대를 마련한 까닭은?,45562,1
324,오래된 돈을 주기적으로 없애는 기관은?,54939,21
325,세상의 평화와 질서 유지를 위한 교육의 장은?,31364,1
326,중공군이 예성강 입구에 잠복한 날짜는 언제인가요?,44205,1
327,"논리형, 제한형 프로그래밍 언어와 대조되는 것은?",8428,2
328,어머니가 사망했던 시점에 형국이는 무엇을 하고 있었나?,59151,4
329,호한야 군이 우록리왕의 침입을 받은 시기는 언제인가?,51503,1
330,샤를이 프랑크의 왕으로 선언된 해는?,14702,2
331,오피온을 에덴 동산의 뱀과 동일한 존재라고 믿은 집단은?,18699,1
332,분화된 세포의 특징을 관찰하기 위해 필요한 것은?,24691,1
333,카예스 대통령에 대한 가톨릭 교회의 저항은 몇 년에 일어났는가?,28064,1
334,클린턴이 연루 혐의를 받은 스캔들은?,4634,20
335,언소주가 괴롭혔다고 알려진 중견기업은?,20938,1
336,스즈키 다키히로한테 우측 타석에 서라고 지시한 감독은?,17641,1
337,조선미술가동맹 조선화분과에서 김용준이 맡은 직책은?,9868,1
338,도비가 첫 감독을 맡게 된 팀은?,23476,1
339,임영관 건물이 학교로 사용된 것은 언제인가?,18041,1
340,벤자민 홉킨스는 누구에 의해 플로리다 민병대 지휘관이 되었는가?,27785,1
341,아카이아 동맹의 리더 일부를 인질로 삼은 국가는?,45425,1
342,카일의 입과 항문이 연결된 사람은 어느 나라 사람인가?,43615,1
343,미국 민주주의의 기원으로 여겨지는 것은?,17939,14
344,연수취업제도에서 연수기간이 줄어든 해는?,48557,1
345,선원들을 선동하여 에스파니아 군함을 빼앗은 사람은?,15835,1
346,DNA가 이중가닥을 형성할때 요구되는 상보성을 조절하는 방법은?,53894,1
347,라틴 음악의 기본 3요소 중 아르헨티나의 음악에서 찾아볼 수 없는 하나는?,17630,1
348,부모를 내다버리기 위해 아들을 설득한 인물은?,33072,8
349,산사태가 일어난 당시 펑시 현의 3층 아파트 안에 있었던 사람은 모두 몇 명인가?,21740,1
350,흥왕사명 청동은입사향완에서 갈대가 새겨진 부분은?,38983,3
351,바이러스 복제의 장소로 쓰이는 물질은 어떤 검사에서 쉽게 확인되나요?,5538,2
352,다수의 미국 영화들이 최초로 상영될 뿐만 아니라 아카데미 시상식도 개최되는 곳은?,8939,2
353,"마그누스 효과가 발표되기 전, 이 효과를 이용해 궤적의 편차를 설명한 인물은?",22977,1
354,제도용 샤프가 아님에도 불구하고 스매쉬가 가지고 있는 것은 무엇인가요?,58293,2
355,이스라엘의 우파 정당이 동성 커플을 위해 제도적으로 혜택을 주고자 하는 부분은?,40757,1
356,해리에게 생일 편지를 보낸 곳은 어디인가요?,23664,1
357,러시아의 막강한 군대는 핀란드의 어디로 침투하였나?,4883,21
358,중국 정교회를 소생시키려는 조치는 어떤 나라에 대처하기 위한 것인가요?,24893,1
359,2016년에 화천군은 무엇때문에 통폐합 대상으로 선정되었나요?,58099,1
360,근래 몇 년동안 식물원이 눈에 띄게 번영하고 있는 국가는?,28864,1
361,배곯는 아이들에게 도움이 된 식량 보급 제도는?,7580,21
